case_id,family,subject,batch,split,reference_target,reference_profile,required_measurements,engine,stimulus
D01A,Drums,Bass drum / anchor,First 32,Development,Fischer hardware sample,,Pitch trajectory; early/body energy; decay,,BD alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D01B,Drums,Bass drum / variation,Holdout 20,Holdout,Second documented hardware setting,,Pitch trajectory; early/body energy; decay,,"Reserve an unseen documented setting or strike from a qualifying corpus. Seal the exact file and control vector before tuning. If unavailable, leave this case unscored."
D02A,Drums,Snare / anchor,First 32,Development,Fischer hardware sample,,Body/noise balance; attack; noise decay,,SD alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D02B,Drums,Snare / variation,Holdout 20,Holdout,Second documented hardware setting,,Body/noise balance; attack; noise decay,,"Reserve an unseen documented setting or strike from a qualifying corpus. Seal the exact file and control vector before tuning. If unavailable, leave this case unscored."
D03A,Drums,Low tom / anchor,First 32,Development,Fischer hardware sample,,Pitch drop; body spectrum; decay,,LT alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D03B,Drums,Low tom / variation,Expansion 48,Development,Second documented hardware setting,,Pitch drop; body spectrum; decay,,Choose a second documented knob setting or independently recorded strike. Use actual source settings; do not invent hardware accent behavior by scaling one WAV. Missing source stays unscored.
D04A,Drums,Low conga / anchor,First 32,Development,Fischer hardware sample,,Pitch; body spectrum; decay,,LC alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D04B,Drums,Low conga / variation,Expansion 48,Development,Second documented hardware setting,,Pitch; body spectrum; decay,,Choose a second documented knob setting or independently recorded strike. Use actual source settings; do not invent hardware accent behavior by scaling one WAV. Missing source stays unscored.
D05A,Drums,Mid tom / anchor,First 32,Development,Fischer hardware sample,,Pitch drop; body spectrum; decay,,MT alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D05B,Drums,Mid tom / variation,Expansion 48,Development,Second documented hardware setting,,Pitch drop; body spectrum; decay,,Choose a second documented knob setting or independently recorded strike. Use actual source settings; do not invent hardware accent behavior by scaling one WAV. Missing source stays unscored.
D06A,Drums,Mid conga / anchor,First 32,Development,Fischer hardware sample,,Pitch; body spectrum; decay,,MC alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D06B,Drums,Mid conga / variation,Expansion 48,Development,Second documented hardware setting,,Pitch; body spectrum; decay,,Choose a second documented knob setting or independently recorded strike. Use actual source settings; do not invent hardware accent behavior by scaling one WAV. Missing source stays unscored.
D07A,Drums,High tom / anchor,First 32,Development,Fischer hardware sample,,Pitch drop; body spectrum; decay,,HT alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D07B,Drums,High tom / variation,Holdout 20,Holdout,Second documented hardware setting,,Pitch drop; body spectrum; decay,,"Reserve an unseen documented setting or strike from a qualifying corpus. Seal the exact file and control vector before tuning. If unavailable, leave this case unscored."
D08A,Drums,High conga / anchor,First 32,Development,Fischer hardware sample,,Pitch; body spectrum; decay,,HC alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D08B,Drums,High conga / variation,Holdout 20,Holdout,Second documented hardware setting,,Pitch; body spectrum; decay,,"Reserve an unseen documented setting or strike from a qualifying corpus. Seal the exact file and control vector before tuning. If unavailable, leave this case unscored."
D09A,Drums,Claves / anchor,First 32,Development,Fischer hardware sample,,Pitch; attack duration; tail decay,,CL alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D09B,Drums,Claves / variation,Holdout 20,Holdout,Second documented hardware setting,,Pitch; attack duration; tail decay,,"Reserve an unseen documented setting or strike from a qualifying corpus. Seal the exact file and control vector before tuning. If unavailable, leave this case unscored."
D10A,Drums,Rimshot / anchor,First 32,Development,Fischer hardware sample,,Partial balance; attack; tail decay,,RS alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D10B,Drums,Rimshot / variation,Expansion 48,Development,Second documented hardware setting,,Partial balance; attack; tail decay,,Choose a second documented knob setting or independently recorded strike. Use actual source settings; do not invent hardware accent behavior by scaling one WAV. Missing source stays unscored.
D11A,Drums,Maracas / anchor,First 32,Development,Fischer hardware sample,,Rise time; band energy; decay,,MA alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D11B,Drums,Maracas / variation,Expansion 48,Development,Second documented hardware setting,,Rise time; band energy; decay,,Choose a second documented knob setting or independently recorded strike. Use actual source settings; do not invent hardware accent behavior by scaling one WAV. Missing source stays unscored.
D12A,Drums,Clap / anchor,First 32,Development,Fischer hardware sample,,Burst timing; burst/tail ratio; decay,,CP alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D12B,Drums,Clap / variation,Expansion 48,Development,Second documented hardware setting,,Burst timing; burst/tail ratio; decay,,Choose a second documented knob setting or independently recorded strike. Use actual source settings; do not invent hardware accent behavior by scaling one WAV. Missing source stays unscored.
D13A,Drums,Cowbell / anchor,First 32,Development,Fischer hardware sample,,Partial balance; unwanted difference tone; decay,,CB alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D13B,Drums,Cowbell / variation,Holdout 20,Holdout,Second documented hardware setting,,Partial balance; unwanted difference tone; decay,,"Reserve an unseen documented setting or strike from a qualifying corpus. Seal the exact file and control vector before tuning. If unavailable, leave this case unscored."
D14A,Drums,Cymbal / anchor,First 32,Development,Fischer hardware sample,,Band energy; band decay; total decay,,CY alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D14B,Drums,Cymbal / variation,Expansion 48,Development,Second documented hardware setting,,Band energy; band decay; total decay,,Choose a second documented knob setting or independently recorded strike. Use actual source settings; do not invent hardware accent behavior by scaling one WAV. Missing source stays unscored.
D15A,Drums,Open hat / anchor,First 32,Development,Fischer hardware sample,,Band energy; attack; decay,,OH alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D15B,Drums,Open hat / variation,Holdout 20,Holdout,Second documented hardware setting,,Band energy; attack; decay,,"Reserve an unseen documented setting or strike from a qualifying corpus. Seal the exact file and control vector before tuning. If unavailable, leave this case unscored."
D16A,Drums,Closed hat / anchor,First 32,Development,Fischer hardware sample,,Band energy; attack; decay,,CH alone at the documented reference setting. Preserve the full tail. Measure dry audio at original gain and a separate level-matched copy. Record source filename and any pair selector.
D16B,Drums,Closed hat / variation,Holdout 20,Holdout,Second documented hardware setting,,Band energy; attack; decay,,"Reserve an unseen documented setting or strike from a qualifying corpus. Seal the exact file and control vector before tuning. If unavailable, leave this case unscored."
M1A,Mono,Round bass / anchor,First 32,Development,Mini V3; Model D cross-check,,Fundamental/harmonics; envelope; bass level,,"Base MIDI note 36. Single saw plus a quieter octave oscillator; low resonance; short filter envelope. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M1B,Mono,Round bass / lower / darker,Expansion 48,Development,Mini V3; Model D cross-check,,Fundamental/harmonics; envelope; bass level,,"Base MIDI note 24. Single saw plus a quieter octave oscillator; low resonance; short filter envelope. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M1C,Mono,Round bass / higher / brighter,Expansion 48,Development,Mini V3; Model D cross-check,,Fundamental/harmonics; envelope; bass level,,"Base MIDI note 48. Single saw plus a quieter octave oscillator; low resonance; short filter envelope. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M1D,Mono,Round bass / new gesture,Holdout 20,Holdout,Mini V3; Model D cross-check,,Fundamental/harmonics; envelope; bass level,,Reserve unseen note/control trajectories within this family. Fix the mapping before tuning; reveal detailed results only at a release evaluation.
M2A,Mono,Driven bass / anchor,First 32,Development,Mini V3; Model D cross-check,,Bass retention; harmonic distribution; envelope,,"Base MIDI note 36. Three oscillators at fixed offsets; raise mixer drive at a fixed output level. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M2B,Mono,Driven bass / lower / darker,Expansion 48,Development,Mini V3; Model D cross-check,,Bass retention; harmonic distribution; envelope,,"Base MIDI note 24. Three oscillators at fixed offsets; raise mixer drive at a fixed output level. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M2C,Mono,Driven bass / higher / brighter,Expansion 48,Development,Mini V3; Model D cross-check,,Bass retention; harmonic distribution; envelope,,"Base MIDI note 48. Three oscillators at fixed offsets; raise mixer drive at a fixed output level. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M2D,Mono,Driven bass / new gesture,Expansion 48,Development,Mini V3; Model D cross-check,,Bass retention; harmonic distribution; envelope,,"Base MIDI note 36. Three oscillators at fixed offsets; raise mixer drive at a fixed output level. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M3A,Mono,Pluck bass / anchor,First 32,Development,Mini V3; Model D cross-check,,Attack; pitch; decay,,"Base MIDI note 43. Short amp and filter envelopes; two octaves of staccato notes. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M3B,Mono,Pluck bass / lower / darker,Expansion 48,Development,Mini V3; Model D cross-check,,Attack; pitch; decay,,"Base MIDI note 31. Short amp and filter envelopes; two octaves of staccato notes. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M3C,Mono,Pluck bass / higher / brighter,Expansion 48,Development,Mini V3; Model D cross-check,,Attack; pitch; decay,,"Base MIDI note 55. Short amp and filter envelopes; two octaves of staccato notes. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M3D,Mono,Pluck bass / new gesture,Holdout 20,Holdout,Mini V3; Model D cross-check,,Attack; pitch; decay,,Reserve unseen note/control trajectories within this family. Fix the mapping before tuning; reveal detailed results only at a release evaluation.
M4A,Mono,Legato lead / anchor,First 32,Development,Mini V3; Model D cross-check,,Pitch/glide trajectory; envelope; timbre,,"Base MIDI note 60. Overlapping notes with glide, then separated notes using the declared retrigger rule. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M4B,Mono,Legato lead / lower / darker,Expansion 48,Development,Mini V3; Model D cross-check,,Pitch/glide trajectory; envelope; timbre,,"Base MIDI note 48. Overlapping notes with glide, then separated notes using the declared retrigger rule. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M4C,Mono,Legato lead / higher / brighter,Expansion 48,Development,Mini V3; Model D cross-check,,Pitch/glide trajectory; envelope; timbre,,"Base MIDI note 72. Overlapping notes with glide, then separated notes using the declared retrigger rule. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M4D,Mono,Legato lead / new gesture,Expansion 48,Development,Mini V3; Model D cross-check,,Pitch/glide trajectory; envelope; timbre,,"Base MIDI note 60. Overlapping notes with glide, then separated notes using the declared retrigger rule. Dry 4–8 s phrase plus complete release. Match measured pitch/cutoff and envelope timing, not normalized knob positions."
M5A,Mono,Bright high lead / anchor,First 32,Development,Mini V3 3.12 software reference,,Pitch; Harmonic shape; Foldback energy; Envelope attack; Envelope release; Gain; Clipping,,"MIDI 84 and 96; saw and pulse in separate segments; 6.2 s note phrase plus complete release. Frozen raw Mini V3 audio is a software-synth reference, not a physical Minimoog. Filter remains at maximum and its effective frequency is recorded from a repeatable self-oscillation calibration; compare measured envelope, raw gain, harmonic shape and predicted above-Nyquist alias energy without normalization."
